id,name,name_en,img_src,evaluation,looks,smell,taste,throat,total,style,ABV,IBU,brewery,description,brewery_id,style_id
211,ベアード がんこ親父のバーレーワイン,BAIRD GANKO OYAJI NO BARLEY WINE,http://www.beer365.net/cache/458289e0875625013f86a508884bded9.png,2.33,3,3.5,3.5,3,3,バーレーワイン(エール),11%,90,BAIRD BREWING(静岡県),"ビッグビールだが、全てにおいて素晴らしくバランスが取れている。
甘みと苦み、リッチさとドライさ、力強さと繊細さ、そして強さとやわらかさ。
(オフィシャルサイトより)",222,34
212,伊勢角屋 スタウト,ISE KADOYA STOUT,http://www.beer365.net/cache/d75115ac574cd54001b3400006ccf431.jpg,2.33,3.5,3.5,3,4,3.5,スタウト(エール),5%,,伊勢角屋麦酒(三重県),"焙煎したコーヒーを思わせる、優しい焦げた麦芽の香り。カラメルのように甘くバターのように滑らかな香りの奥には、ドライフルーツの香りなども感じられます。滑らかで甘い口当たりに、カラメル香を感じながらコクやボディのほどよいふくらみを楽しんでいると、焦がした麦芽のシャープな苦みがすっきりと引き締め、味わいをまとめあげます。
2014年　インターナショナル・ビア・カップ　ケグ部門　クラシックアイリッシュスタイル・ドライスタウト部門　銀賞
2012年　インターナショナル・ビア・コンペティション　ボトル部門　クラシックアイリッシュスタイル・ドライスタウト部門　金賞
2010年　ワールド・ビア・アワード　 Stout & Porter部門　Asia's Best Dry Stout
2009年　ジャパン・アジア・ビア・カップ　ダークエール部門　金賞
2006年　ワールド・ビア・カップ　ドライスタウト部門　銅賞
2005年　全国酒類コンクール　総合２位
2003年　Australian International Beer Awards Best of Class 銅賞",216,26
213,富士桜高原 シュヴァルツヴァイツェン,FUJIZAKURA KOGEN SCHWARZ WEIZEN,http://www.beer365.net/cache/f59b0e2b47a65541c849282bc4d0ca6a.jpg,2.31,3.5,3.5,3,3.5,3.5,ヴァイツェン・ヴァイス(エール),5.20%,,富士桜高原麦酒 (山梨県),"小麦モルト・ローストモルト・カラメルモルトなど7種類のモルトをブレンドし「甘芳ばしさ」を表現しました。
ヴァイツェンの醸造で培った酸味を抑える独自の製法により、黒ビール特有のキレとロースト・カラメル香を存分に引き出したまま、ヴァイツェン特有のフルーティーな香りを共存させた富士桜高原麦酒オリジナルの「黒いヴァイツェン」です。
お肉料理全般やスイーツとの相性もよく、とても飲みやすい黒ビールです。
2014年　インターナショナル・ビア・カップ　ジャーマンスタイル・ウィートエール[ボトル/缶]　銅賞
2014年　アジア・ビアカップ　ヴァイスビール［ボトル/缶］　銀賞",235,45
214,ハーヴェスト ムーン ダンシング サマーエール,HARVEST MOON DANCING SUMMER ALE,http://www.beer365.net/cache/d3b15ff11f4b20f2d0d45b9507767d07.jpg,2.31,3.5,3.5,3.5,2.5,3,ペール・ビター(エール),4.50%,,ハーヴェスト ムーン(千葉県),甘夏を使用したセッションペールエール。,277,41
215,伊勢角屋 熊野古道,ISE KADOYA KUMANO KODO,http://www.beer365.net/cache/c81ac4244dddd3d1dd0804befda93e42.jpg,2.31,3,1.5,4,3.5,3.5,ブロンド・ゴールデン(エール),5%,,伊勢角屋麦酒(三重県),"多くのお客様のご評価をいただいている『神都麥酒』をベースに、ホップのインパクトを少しマイルドにして、後味をより重厚にいたしました。
インターナショナル・ビア・コンペティション 銀、銅賞",216,39
216,湘南 IPA モザイク,SHONAN IPA MOSAIC,http://www.beer365.net/cache/394ef195d4304246506c07691ee252f0.jpg,2.3,3.5,3.5,3,3.5,3.5,IPA・インディアペール(エール),,,熊澤酒造株式会社(神奈川県),"情報がありません。
情報提供のご協力をお願い致します。",255,18
217,ベルビュー クリーク,BELLE-VUE KRIEK,http://www.beer365.net/cache/1cfcfe45ff57e7d76409ed10e59cee78.jpg,2.3,3.5,3.5,3,3.5,3.5,ランビック(ハイブリッド),5.10%,,BELLE-VUE BREWERY (INBEV),チェリーを使用した非常にフルーティーなビール。,43,49
218,サントリー ザ プレミアム モルツ 芳醇エール,SUNTORY THE PREMIUM MALTS HOJUN ALE,http://www.beer365.net/cache/7e187eecc3a59fcc77fcb40706ec4eb7.jpg,2.3,3.5,3,3,3.5,2.8,,6%,,サントリービール株式会社(大阪府),"「上面発酵酵母」を使用したエールタイプの特長であるフルーティーな香味と、数種類の濃色麦芽による芳ばしさを調和させ、秋らしいフルーティーで芳醇な中味を実現しました。
(オフィシャルサイトより)",126,
219,猪苗代 ヴァイツェン,INAWASHIRO WEIZEN,http://www.beer365.net/cache/c0f7e916bcd03e330332e2cd855f6830.jpg,2.3,3,3.5,3.5,2.5,3,ヴァイツェン・ヴァイス(エール),,,親正産業株式会社(福島県),"大麦・小麦モルトを使用した、まろやかな味とフルーティな香りは女性にも人気のきめ細かいビールです。
上面発酵ならではのにごりがあり、若干白みがかっているのが特徴で、マンゴーのようなやさしい味わいに仕上がっています。
2006年　国際ビール大賞　金賞
2007、2008年　国際ビール大賞　銅賞",288,45
220,ハーヴェスト ムーン ブラウンエール,HARVEST MOON BROWN ALE,http://www.beer365.net/cache/302f1977b006fa015b500e4f47d8ecda.jpg,2.3,3,3,3.5,3.5,3,ブラウン(エール),5.50%,,ハーヴェスト ムーン(千葉県),"カラメル麦芽由来の美しいカラーとほのかな甘み、アメリカ産ホップのフルーティーな香りとしまりのある苦味は、従来ののど越しで味わうタイプのビールとはちがう、香り豊かなビールです。
インターナショナル・ビア・コンペティション　アメリカンブラウンルエール部門　銅賞",277,36
221,國乃長 蔵ケルシュ,KUNINOCHO KURA KOLSCH,http://www.beer365.net/cache/2af78e112e4ffd28508df5b53969ccb1.jpg,2.3,3,2.5,3.5,3.5,3.5,ケルシュ(エール),5%,25,寿酒造(大阪府),"厳選したノーブルホップを使用し、発酵方法はスタイルに忠実に従って、穏やかで上品な香りを作り出すとともに、ボディは大麦１００％にして少しモルティな感じも意識して造りました。
2011年　ジャパン・アジア・ビアカップ　銀賞",195,22
222,ベアード 信州早生 ウェットホップエール,BAIRD SHINSHU WASE WET HOP ALE,http://www.beer365.net/cache/07b19f8132d9cedf5ab3355034a5e2a3.png,2.3,3,3.5,3.5,2.5,3,,5%,29,BAIRD BREWING(静岡県),"国産のフレッシュな信州早生ホップと、4種類の最高品質の英国産モルト組み合わせた、すばらしい自然の恵みのエール。
フレッシュなハーブやお花のようなホップの個性と、丸みのある繊細なモルトの甘みが完璧なハーモニー。
(オフィシャルサイトより)",222,
223,ワイマーケット イエロー スカイ ペールエール,Y. MARKET YELLOW SKY PALE ALE,http://www.beer365.net/cache/e78419b61005d92761eb2f4bb269926d.jpg,2.3,3.5,3.5,3,3.5,3.5,ペール・ビター(エール),5.60%,17,Y. MARKET BREWING (ワイマーケットブルーイング)(愛知県),"YMB人気商品のPurple Sky Pale Aleをベースにゆず皮をたっぷり漬け込んだフルーツエール。ゆずの柑橘感溢れる仕上がりに、若干抑え気味に使用したCitraホップがバランスよく香 る。
紫の空が黄色く染まっちゃった！！！
(オフィシャルサイトより)",103,41
224,キリン 一番搾り スタウト,KIRIN ICHIBAN SHIBORI STOUT,http://www.beer365.net/cache/6162584cdaaf97bb404ca63b09fe64eb.png,2.3,3.5,3.5,3,3.5,3.5,スタウト(エール),5%,,キリン株式会社(東京都),"「一番搾り スタウト」は、スタウトの伝統的な味わいの特長である「芳醇さ」と現代のビールに求められる「飲みやすさ」を一番搾り製法によって実現した、
黒ビールの楽しさを広げる、新しい時代のスタウトです。
(オフィシャルサイトより)",124,26
225,足柄 シトラス,ASHIGARA CITRUS,http://www.beer365.net/cache/9b50a36ebbe42827e91dc1ae55297a61.jpg,2.3,3,3.5,3.5,3.5,2.5,フルーツ・ベジタブル(ハイブリッド),,,有限会社足柄地ビール(神奈川県),海に面した小田原・片浦、陽の光をたっぷり浴びたレモンを使用した爽やかな味のエールです。,98,48
226,城端 はかまエール,JOHANA HAKAMA ALE,http://www.beer365.net/cache/140c7b2ac9231ba03e93e5ad1a8c7dfe.jpg,2.28,3.5,3,3.5,3,3,スペシャルティー・その他,,,城端麦酒有限会社(富山県),"コクがあり、豊かな麦の香りと苦味が凝縮された大人の味わいです。
2005年　国際ビール大賞　フリースタイル部門　銀賞",200,50
227,クラフトラベル ハロー ヴァイツェン,CRAFT LABEL HELLO! WEIZEN,http://www.beer365.net/cache/a669fd9560b8a9d2a29a6f86ebc4ef23.jpg,2.28,3,2.8,3,3.5,3,ヴァイツェン・ヴァイス(エール),5.50%,,ジャパンプレミアムブリュー株式会社(東京都),"「Hello!ヴァイツェン」は、こだわりのビールユーザーから、初めてヴァイツェンを飲むお客様にまで幅広く受け入れられる新たなおいしさを目指し、中味開発を行いました。1,000株以上の中から厳選した独自のヴァイツェン酵母を使用することで、ヴァイツェンの特長である果実を思わせる香りはそのままに、さわやかな飲み口・後味の両立を実現しました。
(オフィシャルサイトより)",113,45
228,ヤッホー 前略 好みなんて聞いてないぜSORRY セッション 柚子エール,YO-HO ZENRYAKU KONOMI NANTE KIITE NAIZE SORRY SESSION YUZU ALE,http://www.beer365.net/cache/17adf66344e685b4899542c9b8933d73.jpg,2.26,3.2,3.5,2.8,3.2,2.8,スペシャルティー・その他,4%,,ヤッホーブルーイング(長野県),"古くから親しまれてきた「柚子」の爽やかな香りを、豊かな海の「あら塩」で引き出す。
その名も「香味しぼり・あら塩仕立て製法」。
果皮の鮮烈な香りと果汁の瑞々しさが溢れ出す、和の感性から生まれたセッションエール。
(オフィシャルサイトより)",280,50
229,ロスムエルトス デイ オブ ザ デッド ヘーフェヴァイツェン,LOS MUERTOS DAY OF THE DEAD HEFEWEIZEN,http://www.beer365.net/cache/afcbacd08f2dcc1e648adc32e96075d0.jpg,2.26,3,2.5,3,3.2,3.2,ヴァイツェン・ヴァイス(エール),5.50%,12,カンピオンエール(東京都),"バナナやクローブの香りを持つ、フルーティーでまろやかな白ビールです。ドイツ語でHEFEは酵母、WEIZENは小麦を意味します。
(輸入元: リードオフジャパン株式会社より)",108,45
230,ベアード 初醸造2015 インディアペールラガー,BAIRD HATSUJOZO 2015 IPL,http://www.beer365.net/cache/86adada2eb9991afd738d42937958933.png,2.26,2.5,3.5,3,3.5,3.5,IPL・インディアペール(ラガー),7%,70,BAIRD BREWING(静岡県),"今年の「初醸造」は、 ホッピーなインディアペールエールのレシピだが、 ラガー酵母で発酵させたインディアペールラガー。 モルトはフロアーモルテッドのピルスナーに、 パンのような風味のあるウィーンを隠し味程度に組み合わせた。 70IBU となるドイツ産の 4 種類のホップを煮沸釜に投入、 同様に貯酒タンクにも全 4 種のホップをドライホップとして投入、 まさにインディアペールにふさわしい仕込みとなった。 これをベアードのハウスラガー酵母で発酵させたことにより、 ラガー特有のクリーンで、丸みのあるフレーバー個性も印象的だ。
(オフィシャルサイトより)",222,1
231,サンクトガーレン オレンジチョコレートスタウト,SANKTGALLEN ORANGE CHOCOLATE STOUT,http://www.beer365.net/cache/20c561328c8385624b3b26743b33cca1.png,2.26,3,3,3.5,3,3,スタウト(エール),6.50%,24,サンクトガーレン有限会社(神奈川県),お正月飾りに欠かせない“橙（だいだい）”というオレンジを皮ごと細かく刻み、ジャムをつくるように長時間煮込んで風味を凝縮。それをビールの基になる麦汁（ばくじゅう／ ノンアルコールの麦ジュース）に合わせて発酵させました。オレンジの皮も身も丸ごと使用しているため、飲んだ後にはマーマレードのような皮の苦味が。オレンジピールにチョコレートをコーティングしたお菓子“オランジェ”をイメージしたビールです。,257,26
232,ブリマー ポーター,BRIMMER PORTER,http://www.beer365.net/cache/b790c608363ecc2092d64c2de373d020.jpg,2.24,3,3.5,3,3,3.5,ポーター(エール),5.50%,,BRIMMER BREWING(神奈川県),"4種類のモルトを使い、複雑な味わいを実現しました。さまざまなイギリス産ホップを適度に加え、季節を問わずに楽しめるバランスのとれた黒ビールです。見た目からは想像できない、驚くほどの“まろやかな味わい”と“飲みやすさ”、ほのかに香るチョコレートのような風味をお楽しみください。
(オフィシャルサイトより)",153,42
233,イーブルツイン ヒップスター エール,EVILTWIN HIPSTER ALE,http://www.beer365.net/cache/3584397bb9d7aa9858750a8b5c26d8d7.jpg,2.24,4,3,3,3.5,3.5,ペール・ビター(エール),5.50%,,イーブル ツイン ブルーイング,"ヒップスターが賛辞されながら、世界中で巻き起こっているビールブームのことはご存知だろうか？あなたはその波に乗れているのに、あなたが住んでいる街がそうでなく仲間はずれになっていると感じているのであれば、この最先端の『国境のないイケてる』ペールエールこそが、世界をまたにかけるヒップスターのあなたに相応しいものだ。乾杯！
(輸入元: デリリウムカフェトーキョーより)",6,41
234,あくら なまはげボック,AKULA NAMAHAGE BOCK,http://www.beer365.net/cache/cdc9bfb4080687f90c7ac369c906b7eb.jpg,2.24,3.5,3.5,3.5,2.5,2.5,ボック(ラガー),7%,,株式会社あくら(秋田県),"バイエルン地方伝統のボックを範とした、ビールには希有な２ヵ月以上の 熟成を経て誕生いたしました。麦芽由来の濃厚な甘みとロースト麦芽の香ばしさが手をとり、奥深 いコクとほのかなビター感が特徴です。 酵母は秋田で改良が重ねられたオリジナル酵母で、天蚕絹のようななめらかさと魅力的なアフター テイストが実現しました。
2009年　インターナショナル・ビア・コンペティション　銅賞
2010年　インターナショナル・ビア・コンペティション　銅賞
2010年　ジャパンビアフェスティバル　神奈川県知事賞受賞",295,15
235,日本海倶楽部 ヴァイツェン,NIHONKAI CLUB WEIZEN,http://www.beer365.net/cache/8e8f495729c510333ccfac697c811133.png,2.24,3.2,2.8,2.7,2.7,2.7,ヴァイツェン・ヴァイス(エール),5%,10,日本海倶楽部(石川県),ヴァイツェンとはドイツ語で小麦の意味。小麦麦芽を50%以上使用したフルーティな香りと爽やかな味、のどごしの良さが魅力の上面発酵ビールです。,203,45
236,伊勢角屋 インペリアル レッドエール,ISE KADOYA IMPERIAL RED ALE,http://www.beer365.net/cache/20b21fb8fe555a29b2601f2a578c6225.jpg,2.23,3.5,4,3,2.5,3,アンバー・レッド(エール),6%,,伊勢角屋麦酒(三重県),"香りはふくよかで、シトラのフルーティーな柑橘系の香りが鼻から抜けます。
軽くてすっきり・柔らかくて強い、存在感はどっしり重い感じに仕上がっております。
過度なコクとボディー感で、ギュッと締め上げる強烈な苦みが後味をひきしめてくれます。
2014年　インターナショナル・ビア・カップ　ケグ部門　アメリカンスタイル・アンバー／レッドエール部門　金賞
2011年　インターナショナル・ビア・コンペティション　インペリアル・レッドエール部門　銅賞",216,20
237,箕面 スタウト,MINOH STOUT,http://www.beer365.net/cache/1118efbae66f2698229d5c8c36eb897b.jpg,2.23,3.5,3,3,3.5,3.5,スタウト(エール),5.50%,,箕面ブリュワリー(大阪府),"コーヒーやビターチョコレートを思わせるフレーバー、滑らかなやわらかさ
とドライな後味にこだわった、飲み飽きないスタウト。何杯でも飲みたい黒！を追求した、箕面ビールの自信作です。
2013年　Brewing Industry International Awards(BIIA)　Dark Beer部門　銅賞
2010年　ジャパン・クラフトビア・セレクション　ポーター＆スタウト部門　金賞
2009年　2014年　World Beer Awards　Dry Stout部門　金賞
2004、2006、2007年　インターナショナル・ビア・コンペティション　銅賞",196,26
238,グーデン カロルス アンブリオ,GOUDEN CAROLUS AMBRIO,http://www.beer365.net/cache/d3855b8bb9e21398a008455d0273dc8a.jpg,2.23,3.5,3.5,3,3.5,3,ストロング(エール),8%,,オリオンビール株式会社(沖縄県),"14世紀のレシピに基づいて造られた琥珀色なビール。姉妹商品のクラシックとトリプルのように、ベルギー産のホップのみが使われており、フルーティーで奥深さを感じさせる味わいが特徴。
(輸入元: 小西酒造株式会社より)",9,27
239,道頓堀 ブラック シャーキー,DOTONBORI BLACK SHARKY,http://www.beer365.net/cache/e729b99d6a92af0fd84ed65da13d319c.jpg,2.23,3.5,3,3,3.5,3.5,ポーター(エール),,,道頓堀麦酒醸造(大阪府),"情報がありません。
情報提供のご協力をお願い致します。",197,42
240,サントリー ザ モルツ,SUNTORY THE MALTS,http://www.beer365.net/cache/b16cc7631e7ca7624fa834d3fc4835c0.jpg,2.23,3.5,3,3,3.5,3.5,,5%,,サントリービール株式会社(大阪府),"サントリービールが今まで「ザ・プレミアム・モルツ」や「～同～　マスターズドリーム」を通して培ってきた製法やノウハウを活かし、苦味・コクとほのかな甘みを感じる、複層的で飲み飽きない味わいを実現しました。
《素材・製法のこだわり》
（1） 「ダイヤモンド麦芽」
チェコおよびその周辺国で収穫・製麦された、上質で深いコクが特長の希少な「ダイヤモンド麦芽」を一部使用しています。
（2） UMAMI発酵製法
「～ザ・プレミアム・モルツ～　マスターズドリーム」で培った技術をもとに開発した発酵制御技術を採用することにより、苦味・コクやほのかな甘みの理想的なバランスを実現しました。
（3） HHS製法
当社独自のHHS（High temperature High pressure Steam：高温高圧蒸気）製法で加工した麦芽を使用することにより、爽快な後味で飲み飽きない中味を実現しました。
(オフィシャルサイトより)",126,
241,ブルー ムーン ハーベスト パンプキンエール,BLUE MOON HARVEST PUMPKIN ALE,http://www.beer365.net/cache/80b1bddfe1c40722c1d648c2e6285c28.jpg,2.23,3.5,3.5,3,3.5,3,フルーツ・ベジタブル(ハイブリッド),5.50%,16,BLUE MOON BREWING COMPANY,"【BLUE MOON初の季節限定商品】
パンプキン・エールは1995年に誕生しました。当時からオクトーバーフェストに向けたビールは非常に高い人気がありましたが、BLUE MOONは、他とは違ったビールを作ろうと、この時期に人気のある素材を組み合わせて完成させました。そして、アメリカで最初のパンプキンエールのクラフトビールとして大変人気となりました。
現在は「ハーベストパンプキンエール」と呼ばれ、パンプキン、シナモン、ナツメグ、クローブ、オールスパイスをブレンドし、秋の素材と非常に相性の良いテイストとして人々に好まれています。(日本公式ＨＰ抜粋)",156,48
242,サントリー クラフトセレクト ヴァイツェン,SUNTORY CRAFT SELECT WEIZEN,http://www.beer365.net/cache/a2d087bbe4ad994005fc2a033fba31fa.png,2.21,2.8,3.5,2.8,2.2,3,ヴァイツェン・ヴァイス(エール),5.50%,,サントリービール株式会社(大阪府),"小麦麦芽を使用し上面発酵酵母で醸造するとともに、苦味を抑えることで、“フルーティな香りとまろやかで爽快な余韻”に仕上げています。
(オフィシャルプレスリリースより)",126,45
243,うしとら #035 真面目なヴァイツェン,USHITORA #035 MAJIME NA WEIZEN,http://www.beer365.net/cache/e729b99d6a92af0fd84ed65da13d319c.jpg,2.21,4,3.5,3,3,3,ヴァイツェン・ヴァイス(エール),5.30%,14,うしとらブルワリー(栃木県),"普段、不真面目にビールを造っているわけでもないのですが、今回はいつも以上にしっかりと真面目に。
完全に正統派な南ドイツスタイルのヘーフェヴァイツェンです。ツイストは無しの直球どストレートです。
植竹にヴァイツェンのイメージは無いかもしれませんが、それは完全に誤解で前職で7年作り続けていました。
なので、実は結構得意なスタイルだったりします。
通常よりもほんの少しだけビタリングを強く、そしてドライに仕上げましたので夏向きのサッパリしたヴァイツェンに仕上がりました。
クローブ、バナナ、アプリコット、胡椒などを連想させるフルーティでスパイシーなアロマ、小麦の滑らかで柔らかな口当たり。
キレキレでホップばりばりのビールも得意ですが、こんな優しいビールも実は造れるんですよ。ぜひお試しあれ。
(BEER TRANSPORTERより)",121,45
244,スプリング バレー ファースト クロッシング 一号踏切,SPRING VALLEY FIRST CROSSING,http://www.beer365.net/cache/cef6872849d18e1f9891577057368799.jpg,2.21,3,3,3,3.5,3.5,アンバー・レッド(エール),5.20%,31,キリン株式会社(東京都),"かつて一号踏切と呼ばれていた場所に開業するログロード代官山とスプリングバレーブルワリー東京の記念醸造ビール。キリンの商品開発を支えてきた試験醸造の10,000回目に生まれたビールを、スプリングバレーブルワリーの革新的なものづくりで進化させた、伝統と革新が交差するアンバーエールです。ネルソンソーヴィンホップの華やかな香りとエール特有のおだやかで甘い香り、柔らかな炭酸の刺激が心地よい爽やかな飲み心地が楽しめます。
(オフィシャルサイトより)",124,20
245,ビアへるん ピルスナー,BEER HEARN PILSNER,http://www.beer365.net/cache/5a9daf3d94a7282b28f0e3f75bd7a8a0.jpg,2.21,3,3,3,3.5,3.5,ピルスナー(ラガー),5.50%,,島根ビール株式会社(松江堀川・地ビール館内)(島根県),"チェコ発祥の黄金色のビール。日本でおなじみのタイプで、スッキリ軽快・喉越しの良いビールです。1杯目にぐいっと飲みたい方におすすめです。
2002年　インターナショナル・ビアカップ　銀賞",174,11
246,こぶし花 メルツェン,KOBUSHI HANA MARZEN,http://www.beer365.net/cache/768f037bd0661f4264e6c9dcdd76525b.jpg,2.21,3,3,3,3.5,3.5,メルツェン・オクトーバーフェスト(ラガー),6%,20,羽生ブルワリー(埼玉県),オクトーバーフェストでおなじみ、モルトを贅沢に使った赤銅色のドイツ・ミュンヘン風ラガービールです。大麦の豊かな旨みを感じられるために、苦味はむしろ控えめに、麦芽のふっくらとした甘みがそこはかとなく感じられるように仕上げました。パンやクラッカーにハム・ソーセージなどをあわせて、ドイツ・ビアホールの味をお楽しみください。,251,17
247,ワイマーケット ホップ セダクション セッション IPA,Y. MARKET HOP SEDUCTION SESSION IPA,http://www.beer365.net/cache/292e579426b3f1225945a26332a6b243.jpg,2.21,3,3.5,3,3.5,3,IPA・インディアペール(エール),4.50%,40.18,Y. MARKET BREWING (ワイマーケットブルーイング)(愛知県),"軽やかなボディー、淡いゴールド色でありながら圧倒的なホップキャラクターを楽しめるビール。

「高いアルコール度数は苦手だがホップは大好き」という方にぴったり！程よい苦味、迸るホップ香が”「ホップ欲」中毒者”を生むかも！？　一度飲んだらもう抜け出せない！？？
(オフィシャルサイトより)",103,18
248,宇奈月 十字峡,UNATSUKI JYUUJIKYOU,http://www.beer365.net/cache/75610b84a738b1352e14131c14cb892b.jpg,2.19,2.5,3,3,3.5,3.5,ケルシュ(エール),5%,,宇奈月ビール株式会社(富山県),ドイツ・ケルン地方に伝わるビール。13世紀から15世紀、ハンザ同盟の盟主としてケルン市は海外貿易に従事していました。ビールも盛んに醸造され、有力な貿易商品でした。ケルシュの名称はその頃の名残です。色は明るい琥珀色から黄色。キレとホップの爽快さが絶妙。ぐいっと飲み干したくなるビールです。,201,22
249,鬼伝説 バーレーウィート,ONIDENSETSU BARLEY WHEAT,http://www.beer365.net/cache/e729b99d6a92af0fd84ed65da13d319c.jpg,2.19,2.5,3,3,3.5,3.5,ベルジャンホワイト・ウィート・ヴィット(エール),5%,,株式会社わかさいも本舗 鬼伝説地ビール(北海道),ホップの柑橘の香りがきいた、ウィートエール。,312,40
250,ワイマーケット 肝臓破りの赤,Y. MARKET LIVER DESTROYER RED,http://www.beer365.net/cache/e729b99d6a92af0fd84ed65da13d319c.jpg,2.19,2.5,3.5,3,3.5,3,アンバー・レッド(エール),8.30%,43,Y. MARKET BREWING (ワイマーケットブルーイング)(愛知県),"高アルコール、甘めのフィニッシュ、それでいてドリンカブルなインペリアルレッドエール。
アルコール感とフィニッシュの甘さのバランスを取るため、ビタリングに苦味の余韻が長いドイツ産ホップを使用。ほんのりモルティーに感じるのはギャラクシーホップ特有のウッディーなキャラクター由来。程よいキャラメル感と心地よいシトラス＆トロピカルなホップキャラクターでアルコール度数を忘れ飲み続けてしまう、正に肝臓破りのNOMIMONO！パイントでどうぞ！
(オフィシャルサイトより)",103,20
251,ビアへるん 縁結麦酒 スタウト,BEER HEARN ENMUSUBEER STOUT,http://www.beer365.net/cache/b013d7aef736ceb070aa04b87e6e1005.jpg,2.19,3.2,3,2.8,3.2,2.8,スタウト(エール),5.50%,,島根ビール株式会社(松江堀川・地ビール館内)(島根県),"アイルランド発祥の黒ビール。
焙煎麦芽の香ばしい風味と伝統的な製法から乳糖を使用したマイルドな口当たりです。
2005年　インターナショナル・ビアカップ　金賞",174,26
252,テン アンツ ザ フォース ディメンション,10 ANTS THE FOURTH DIMENSION,http://www.beer365.net/cache/5ba484f2ecd2c1de462addb5a93ae553.gif,2.19,3.5,3.5,3,3,3,IPA・インディアペール(エール),4.50%,50,10 ANT`S BREWING(東京都),"4種類のホップを贅沢に使用し、ホップバースト製法とドライホッピングにより醸造した、ホップの華やかさと苦味が特徴的なセッションIPA。

ビール製造において、香りづけのために行う最終段階のホップ投入量を、通常の数十倍にするという「ホップバースト製法」と、「ドライホッピング」を採用して醸造しています。
アルコール度数は4.５％となります。
（IPAはアルコール度数は平均的に7％～と比較的高めとなっているため、会議中（セッション）にも飲めるようなお手軽なIPAという意味でセッションIPAと名づけられています。）
ホップの華やかさと苦味の両立を追求しつつ、アルコール度数を抑えているため、気軽に飲めるビールとなっています。
是非お試しください。",11,18
253,ヤッホー ハレの日仙人 2014,YO-HO HARE NO HI SENNIN 2014,http://www.beer365.net/cache/139c4afa95c265495ef583a8f24a9d0b.jpg,2.19,3.5,3.5,3,3,3,バーレーワイン(エール),9.50%,68,ヤッホーブルーイング(長野県),超々長期熟成のビール。深い琥珀色にふくよかな甘みとデリケートな苦みが特徴です。熟成にかけた時間が生む余韻をお楽しみください。完全限定生産となっております。,280,34
254,大山 G ヴァイツェン,DAISEN G WEIZEN,http://www.beer365.net/cache/f95b97188a5eafb31399def351a9c92a.png,2.17,4,3,3,3,3,ヴァイツェン・ヴァイス(エール),5%,,くめざくら大山ブルワリー(鳥取県),"ドイツ・バイエルン地方で発展したビール。小麦麦芽を使って、苦味がたいへん弱く、口当たりの良さとフルーティな香りが特徴、女性にもぴったりのビールです。
2011年　ワールド・ビア・アワード　ヴァイツェン部門　1位
1998年　インターナショナルビアコンペティション　人気投票　１位",173,45
255,いわて蔵 ジャパニーズハーブエール SANSHO,IWATE KURA SANSHO,http://www.beer365.net/cache/db7955d8da83836f1e84e2881a89caa3.jpg,2.17,3,3.5,3,3.5,2.5,ハーブ・スパイス(ハイブリッド),5%,,世嬉の一酒造株式会社(岩手県),"エール系ビールと岩手・一関産の山椒の実を使用したビール。
ホップの代わりに一部山椒の実を使用することでスパイシーで柑橘系の爽やかなビールになりました。山椒の香りがビールの麦芽、ホップ、アルコールと混ざり、すーっとする新感覚のビール。
2013年　ワールド・ビア・アワード　アジア部門　金賞
2014年　ワールド・ビア・アワード　アジア部門　金賞",309,47
256,ニード クリームラガー,NIDE CREAM LAGER,http://www.beer365.net/cache/1afe3e83cf86fe4e68d7e610e8d8e722.jpg,2.17,4,2.5,3.5,2.5,3,ペール・クリーム(ラガー),5%,,,"ップの香りが豊かで、突き抜けるような爽快感が特徴のラガースタイルの地ビールです。軽い口当たりでバランスがよく、飲みやすいとのご感想を多く頂きます。
ニードビールは、goodbeerの運営元であるニードのプロデュースのもと、ベアードブルーイングと共同開発したオリジナル地ビールです。地ビールに携わる仕事をしている中で抱くに至った、「とことんクオリティを追求したビールを造りたい！」という思いから誕生したブランドです。",,14
257,ビアバディ ヴァイツェンボック,BEER BUDDY WEIZEN BOCK,http://www.beer365.net/cache/0660a2ba35d987f0020e988b53c990d0.jpg,2.16,3.5,3,3,3.5,3,ヴァイツェンボック(エール),7.50%,,ビアバディ (BEER BUDDY)(東京都),"小麦麦芽とヴァイツェン酵母が醸し出すフルーティーな香りが特徴。
フルーティーな香りが強くアルコール度数も高めですが、柔らかい飲み口がクセになり、女性に大人気な、何杯でも飲み続けられるビールです。",104,44
